"","county","village","survey","rdtPos","microPos","rdtTests","microTests"
"211",3,"35",3,2,1,17,15
"212",3,"35",4,1,1,16,16
"213",3,"36",1,8,8,17,17
"214",3,"36",2,5,1,16,3
"215",3,"36",3,0,0,8,8
"216",3,"36",4,3,0,9,9
"217",3,"37",1,8,7,27,27
"218",3,"37",2,8,8,28,28
"219",3,"37",3,2,2,19,19
"220",3,"37",4,0,0,17,17
